Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
5.6,512.508,262.606,8.0,1.85,35.903999999999996,10.894,-3.03,9.542,317.594,325.202,0.32299999999999995
5.7,505.892,262.106,8.0,1.831,36.032000000000004,11.066,-3.528,8.696,317.908,325.69,0.32
5.8,499.31,261.344,8.1,1.8,35.945,11.226,-4.528,9.49,318.122,325.73,0.3
5.9,492.876,260.55,8.87,1.8,36.199,11.437,-5.01,10.074,318.492,326.2,0.29
6.0,486.448,259.84,8.47,1.8,36.671,11.687,-5.563999999999999,9.758000000000001,318.75,326.0,0.24
6.1,480.142,259.10400000000004,8.0,1.7819999999999998,37.092000000000006,11.867999999999999,-5.59,9.578,319.204,326.75,0.25
6.2,473.80400000000003,258.358,8.34,1.74,36.376999999999995,12.049000000000001,-4.468,9.824,319.478,326.42,0.26
6.3,467.524,257.666,8.14,1.7,36.353,12.2,-5.123999999999999,10.347999999999999,319.9,326.33,0.24
6.4,461.29400000000004,257.0,9.06,1.7,36.585,12.367999999999999,-5.005999999999999,11.234,320.168,326.8,0.25
6.5,455.16400000000004,256.266,9.7,1.7,36.988,12.59,-5.066,10.844000000000001,320.518,326.7,0.25
6.6,449.202,255.538,9.0,1.7,37.451,12.837,-4.44,10.536,320.91400000000004,326.71,0.2
6.7,443.252,254.996,9.33,1.6319999999999997,36.66,13.045,-5.346,10.448,321.458,327.07,0.21
6.8,437.39,254.253,9.357,1.6,36.44,13.26,-5.593999999999999,10.872,321.738,327.557,0.2
6.9,431.59,253.49200000000002,9.959000000000001,1.6,36.75,13.452,-6.0600000000000005,11.548,321.933,327.55,0.20700000000000002
7.0,425.805,252.8,10.0,1.6,37.034,13.629999999999999,-6.744,11.544,322.324,327.391,0.19
7.1,420.08,252.096,9.0,1.56,37.089999999999996,13.792,-7.343999999999999,11.783999999999999,322.59599999999995,328.068,0.18
7.2,414.40099999999995,251.32399999999998,9.077,1.5,36.17,13.954,-6.063999999999999,11.428,322.904,328.052,0.18
7.3,408.851,250.623,9.608,1.5,36.444,14.12,-5.587999999999999,12.028,323.19,328.404,0.18
7.4,403.29200000000003,249.864,10.02,1.5,36.75,14.283,-5.608,12.986,323.548,328.72400000000005,0.17
7.5,397.77,249.05,10.132,1.46,36.35,14.466000000000001,-5.59,12.644000000000002,323.878,329.006,0.16
7.6,392.34200000000004,248.37,10.37,1.42,35.755,14.633000000000001,-5.616,13.07,324.226,329.11400000000003,0.15
7.7,386.998,247.68599999999998,10.264,1.41,36.34,14.792,-5.286,13.77,324.31,329.556,0.15
7.8,381.666,246.85600000000002,11.0,1.4,36.515,14.993,-4.659999999999999,13.315999999999999,324.688,329.458,0.14
7.9,376.41,246.15,11.0,1.4,36.775000000000006,15.198,-4.315999999999999,12.856,325.01599999999996,329.634,0.13399999999999992
8.0,371.248,245.3,10.729999999999997,1.4,37.445,15.403,-4.367999999999999,12.524000000000001,325.26,329.772,0.14
8.1,366.07,244.624,10.946,1.39,37.614999999999995,15.56,-4.582,12.224,325.562,329.912,0.13
8.2,361.01599999999996,243.916,11.549999999999994,1.37,37.75,15.69,-5.287999999999999,12.652000000000001,325.86,330.094,0.13
8.3,355.94,243.14000000000001,11.016,1.342,37.426,15.844,-5.38,13.776,326.116,330.06,0.13
8.4,350.95799999999997,242.30200000000002,11.08,1.3,36.934,15.968,-4.934,13.882000000000001,326.372,329.994,0.11
8.5,346.026,241.482,10.937999999999999,1.276,36.532,16.086,-4.058,13.558000000000002,326.61,330.078,0.11
8.6,341.12600000000003,240.762,11.04,1.266,36.384,16.233999999999998,-3.91,14.348,326.89799999999997,330.128,0.10799999999999997
8.7,336.318,240.054,10.899999999999999,1.2,35.564,16.392,-3.752,15.656,327.13,330.282,0.09
8.8,331.496,239.348,11.947999999999999,1.2,35.836,16.567999999999998,-2.332,15.472000000000001,327.34999999999997,330.574,0.08
8.9,326.774,238.55200000000002,10.847999999999999,1.2,36.158,16.708,-2.098,15.344000000000001,327.658,330.98,0.08
9.0,322.13,237.68599999999998,11.48,1.2,36.566,16.822,-2.9199999999999995,16.592000000000002,327.832,331.018,0.08
9.1,317.51,236.95,11.975999999999999,1.2,37.032000000000004,16.948,-3.327999999999999,17.524,328.02799999999996,331.19,0.08
9.2,312.976,236.142,11.331999999999999,1.17,36.92,17.113,-3.095999999999999,17.206,328.276,331.458,0.07
9.3,308.5,235.304,12.0,1.13,36.574,17.215,-3.768,16.652,328.494,331.572,0.07
9.4,304.094,234.534,13.004999999999999,1.123,36.627,17.353,-4.314,16.587999999999997,328.895,331.765,0.07
9.5,299.726,233.688,12.5,1.1,36.507,17.49,-4.382,16.744,329.246,331.75,0.07
9.6,295.432,232.923,13.305,1.1,36.708,17.611,-4.614,16.152,329.438,331.86,0.06
9.7,291.095,232.177,13.0,1.1,37.42,17.721,-4.066,16.172,329.808,332.05,0.06
9.8,286.825,231.339,13.09,1.07,37.32,17.83,-3.48,16.566000000000003,330.226,332.16499999999996,0.06
9.9,282.638,230.498,13.0,1.07,37.292,17.951999999999998,-3.5439999999999996,16.200000000000003,330.385,332.36,0.05
10.0,278.51399999999995,229.81799999999998,12.690000000000001,1.05,37.117999999999995,18.094,-3.677999999999999,15.884,330.76,332.615,0.05
10.1,274.377,229.06799999999998,12.0,1.0,36.379999999999995,18.3,-3.4179999999999997,16.88,331.14,332.885,0.04
10.2,270.297,228.246,12.0,1.0,36.858,18.411,-2.7459999999999996,16.316000000000003,331.447,332.96000000000004,0.04
10.3,266.279,227.47899999999998,12.99,1.0,36.852,18.532,-3.046,15.932000000000002,331.65,333.06,0.04
10.4,262.34,226.809,12.91,1.0,37.646,18.758000000000003,-2.6439999999999997,16.546,331.948,333.275,0.03
10.5,258.48,226.102,12.486,1.0,38.089,18.928,-3.06,16.236,332.062,333.402,0.03
10.6,254.592,225.46,13.0,0.99,38.338,19.058,-2.9799999999999995,15.842000000000002,332.428,333.742,0.03
10.7,250.712,224.728,13.06,0.97,38.149,19.188000000000002,-2.3339999999999996,14.984,333.02799999999996,333.926,0.03
10.8,246.952,224.016,12.344000000000001,0.9409999999999998,38.062000000000005,19.302,-0.848,14.152000000000001,333.258,334.262,0.03
10.9,243.212,223.212,12.062999999999999,0.93,37.826,19.406,-0.6939999999999995,13.794,333.522,334.50399999999996,0.02
11.0,239.486,222.53,11.117999999999999,0.9109999999999999,38.439,19.535999999999998,-0.6099999999999992,14.906,333.803,334.839,0.02
11.1,235.93,221.91,12.0,0.9,38.211999999999996,19.630000000000003,-0.19799999999999907,16.688,334.08,335.188,0.02
11.2,232.341,221.12900000000002,12.0,0.9,38.56,19.766,-0.26999999999999935,17.542,334.32,335.511,0.02
11.3,228.84,220.413,12.222000000000001,0.9,39.035,19.866,-0.7399999999999994,18.908,334.767,335.79900000000004,0.02
11.4,225.32100000000003,219.744,12.0,0.9,39.73,20.06,-0.6759999999999995,19.398,335.232,336.183,0.02
11.5,221.844,219.032,11.0,0.9,40.269999999999996,20.092,-0.45799999999999996,19.852,335.616,336.496,0.02
11.6,218.37900000000002,218.538,11.0,0.9,41.305,20.182000000000002,0.024000000000000105,20.448,335.997,336.779,0.02
11.7,214.917,217.788,9.34,0.92,42.28,20.35,-0.035999999999999865,21.464000000000002,336.491,337.252,0.01
11.8,211.57100000000003,217.128,9.0,0.925,43.425,20.518,-0.15,21.7,337.016,337.717,0.01
11.9,208.296,216.52700000000002,8.573999999999998,0.915,43.754999999999995,20.684,1.0580000000000003,22.188,337.57,338.164,0.01
12.0,205.07,215.86100000000002,8.009,0.9,44.019999999999996,20.812,0.32,22.57,338.014,338.752,0.01
12.1,201.844,215.25,8.0,0.97,47.3,20.986,-1.694,23.152,338.577,339.373,0.01
12.2,198.61700000000002,214.65,7.672,0.99,48.730000000000004,21.154,-3.647999999999999,23.758,339.244,339.876,0.01
12.3,195.48,214.23,7.611999999999999,1.0,50.01,21.294,-3.4499999999999984,23.432,340.017,340.366,0.01
12.4,192.397,213.738,6.551999999999999,1.01,52.32,21.442,-1.8279999999999994,23.664,340.456,340.85900000000004,0.01
12.5,189.36100000000002,213.26,6.106999999999999,1.03,53.86,21.554000000000002,-1.2979999999999992,24.746,341.015,341.443,0.01
12.6,186.32100000000003,212.824,5.709,1.0950000000000002,58.185,21.692,-3.171999999999998,25.372,341.807,342.28299999999996,0.01
12.7,183.386,212.22,5.029999999999999,1.135,60.705,21.84,-2.4979999999999976,25.706,342.597,342.995,0.01
12.8,180.49,211.657,5.3,1.15,62.57,22.01,0.1860000000000006,26.512,343.64099999999996,343.926,0.01
12.9,177.68,211.412,5.0,1.17,64.512,22.201,0.8160000000000001,26.668,344.79,345.189,0.0
13.0,174.875,211.387,4.529999999999999,1.2,67.65,22.395999999999997,-1.0459999999999998,26.032,346.138,346.399,0.0
13.1,172.077,210.82,4.0329999999999995,1.2,68.67,22.547,-2.9719999999999995,25.84,346.612,347.021,0.0
13.2,169.345,210.538,3.9299999999999997,1.2,69.66000000000001,22.648999999999997,-4.4239999999999995,24.624000000000002,347.631,347.837,0.0
13.3,166.606,210.294,3.56,1.2380000000000002,75.0,22.851,-3.6239999999999997,24.8,348.628,348.84,0.0
13.4,163.94,209.906,3.65,1.3,78.06400000000001,23.115999999999996,-3.126,24.054000000000002,349.68800000000005,349.74,0.0
13.5,161.368,209.65,3.1,1.3,79.422,23.378999999999998,-2.314,24.41,350.818,350.9,0.0
13.6,158.726,209.25,3.0,1.342,82.884,23.625999999999998,-1.0679999999999996,23.874,352.082,352.23,0.0
13.7,156.194,209.05,3.0,1.34,84.25999999999999,23.875,-0.5079999999999996,23.082,353.594,353.62,0.0
13.8,153.71,209.076,2.99,1.31,84.418,24.016,-0.36399999999999977,23.183999999999997,354.918,354.97,0.0
13.9,151.264,208.764,2.9,1.372,89.644,24.159,-1.26,22.36,356.108,355.94,0.0
14.0,148.858,208.426,2.8,1.37,91.72399999999998,24.37,-1.7859999999999998,22.186,357.302,357.35,0.0
14.1,146.488,208.212,2.92,1.4,93.753,24.578999999999997,-2.1319999999999997,23.006,358.284,358.06,0.0
14.2,144.10999999999999,207.902,2.8,1.4,95.56299999999999,24.769,-2.4419999999999997,23.759999999999998,359.482,359.47,0.0
14.3,141.833,207.65200000000002,2.7,1.4,97.566,24.98,-2.7399999999999998,23.896,360.97200000000004,361.012,0.0
14.4,139.55200000000002,207.253,2.431,1.4,99.101,25.217,-2.776,24.084,361.882,361.871,0.0
14.5,137.262,207.04,2.591,1.4,100.119,25.464,-1.924,23.664,363.29499999999996,363.28,0.0
14.6,135.004,206.75,2.288,1.4,103.14699999999999,25.753999999999998,-2.408,22.580000000000002,364.558,364.463,0.0
14.7,132.858,206.508,2.210999999999999,1.436,108.14,26.031999999999996,-1.9719999999999995,22.236,365.728,365.735,0.0
14.8,130.67,206.322,2.0079999999999996,1.456,109.756,26.242,-2.782,21.97,367.21,367.232,0.0
14.9,128.584,206.25,2.1359999999999997,1.4519999999999997,111.468,26.438,-3.606,21.192000000000004,368.628,368.522,0.0
15.0,126.51,205.95,2.0,1.46,113.32,26.608,-2.554,19.404,370.23,370.08599999999996,0.0
15.1,124.474,205.634,2.0,1.486,118.18900000000001,26.77,-2.6439999999999997,18.552,371.406,371.278,0.0
15.2,122.38600000000001,205.55,2.0,1.5,120.985,26.95,-3.388,19.099999999999998,372.48,372.35200000000003,0.0
15.3,120.414,205.198,2.0,1.5,121.957,27.150000000000002,-3.636,20.248,373.67,373.65,0.0
15.4,118.416,204.852,2.0,1.5,124.43,27.44,-4.222,18.47,374.782,374.756,0.0
15.5,116.465,204.60500000000002,2.0,1.5,126.887,27.54,-5.748,17.875999999999998,376.005,375.9,0.0
15.6,114.525,204.41,2.0,1.5,129.56799999999998,27.66,-5.228,17.218000000000004,377.375,377.26,0.0
15.7,112.622,204.252,2.0,1.534,134.188,27.85,-3.468,17.488,378.404,378.286,0.0
15.8,110.754,203.826,2.0,1.6,141.505,28.082,-3.404,17.102,380.246,380.182,0.0
15.9,108.91199999999999,203.822,2.0,1.6,145.328,28.27,-3.26,15.036,381.958,381.902,0.0
16.0,107.18,203.63,2.0,1.61,148.755,28.525,-2.858,16.256,383.604,383.582,0.0
16.1,105.41199999999999,203.55,2.0,1.7,158.475,28.737,-1.83,16.506,384.86,384.824,0.0
16.2,103.689,203.336,2.0,1.74,168.125,28.948,-1.888,16.606,386.57399999999996,386.524,0.0
16.3,101.997,203.25,2.0,1.75,170.14499999999998,29.202,-3.298,16.58,388.358,388.33099999999996,0.0
16.4,100.27,203.088,2.0,1.8,176.655,29.564,-4.808,16.296,390.35200000000003,390.265,0.0
16.5,98.616,203.05,2.0,1.8,180.184,29.784,-5.476,13.978,391.668,391.56,0.0
16.6,97.012,202.932,1.8599999999999994,1.864,190.916,30.068,-5.442,14.382,393.63,393.46,0.0
16.7,95.426,202.986,1.9269999999999996,1.9,197.953,30.386,-4.56,14.242,395.259,395.176,0.0
16.8,93.873,202.768,1.0599999999999994,1.9589999999999999,208.081,30.831999999999997,-4.074,14.64,396.902,396.77700000000004,0.0
16.9,92.367,202.767,1.0,2.03,216.236,31.295,-2.6899999999999995,14.8,398.504,398.402,0.0
17.0,90.854,202.644,1.0,2.1,230.93,31.57,-2.8519999999999994,13.905999999999999,400.21,400.024,0.0
17.1,89.347,202.474,1.0,2.2,243.3,31.87,-1.9199999999999995,13.416,401.934,401.875,0.0
17.2,87.86,202.578,1.0,2.24,250.64,32.19,-1.4159999999999997,12.818,404.108,404.054,0.0
17.3,86.422,202.458,1.0,2.3,263.543,32.53,-1.658,11.794,406.29400000000004,406.176,0.0
17.4,84.978,202.814,1.0,2.434,282.459,32.870000000000005,-1.274,11.57,408.594,408.414,0.0
