#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-12-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2020-12-19,23:36:11
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
886.5,1.2,12.3,87.0,80.7,10.6,1216.5
885.9,1.2,12.3,86.6,80.7,10.5,1222.4
885.3,1.2,12.3,86.1,80.7,10.4,1228.4
884.6,1.2,12.3,85.9,80.7,10.4,1234.6
883.9,1.2,12.2,85.5,80.6,10.3,1240.8
883.3,1.2,12.2,85.1,80.5,10.2,1246.7
882.7,1.2,12.2,84.9,80.4,10.2,1252.4
882.1,1.2,12.2,85.0,80.2,10.1,1258.1
881.5,1.2,12.2,85.5,80.0,10.1,1263.9
880.9,1.2,12.1,86.0,79.7,10.0,1269.7
880.3,1.2,12.0,86.6,79.4,10.0,1275.4
879.7,1.2,12.0,87.1,79.1,10.0,1281.0
879.1,1.3,11.9,87.1,78.7,10.0,1286.3
878.6,1.3,11.9,86.6,78.3,10.0,1291.3
878.2,1.3,11.9,86.0,77.9,10.0,1296.1
877.6,1.3,11.9,85.7,77.4,10.0,1301.1
877.0,1.3,11.8,85.5,76.9,10.0,1306.3
876.5,1.3,11.8,85.3,76.4,10.1,1311.4
876.0,1.3,11.8,85.3,75.9,10.1,1316.3
875.5,1.3,11.7,85.6,75.4,10.2,1321.4
874.9,1.3,11.7,85.9,74.9,10.2,1326.7
874.4,1.3,11.6,85.8,74.4,10.3,1332.1
873.8,1.3,11.6,85.7,73.9,10.4,1337.6
873.2,1.3,11.5,86.0,73.4,10.5,1343.1
872.7,1.3,11.5,86.3,73.0,10.6,1348.6
872.1,1.3,11.4,86.9,72.6,10.8,1353.9
871.5,1.3,11.4,87.9,72.3,10.9,1359.2
871.0,1.3,11.4,89.4,72.0,11.0,1364.3
870.5,1.3,11.3,90.9,71.8,11.1,1369.1
870.0,1.3,11.3,91.5,71.6,11.2,1373.8
869.6,1.3,11.2,92.0,71.4,11.3,1378.3
869.1,1.3,11.2,92.9,71.3,11.5,1382.9
868.6,1.3,11.1,93.4,71.3,11.6,1387.5
868.1,1.3,11.1,93.3,71.3,11.7,1392.2
867.6,1.3,11.1,93.2,71.4,11.7,1396.9
867.1,1.3,11.1,93.1,71.5,11.8,1401.5
866.7,1.3,11.1,93.0,71.6,11.9,1406.1
866.2,1.3,11.1,92.7,71.8,11.9,1410.8
865.7,1.3,11.1,92.3,72.0,12.0,1415.9
865.1,1.3,11.1,92.0,72.3,12.0,1421.1
864.6,1.2,11.1,91.9,72.5,12.0,1426.4
864.0,1.2,11.1,92.0,72.8,12.0,1431.6
863.5,1.2,11.1,91.7,73.1,12.0,1436.4
863.0,1.2,11.0,91.1,73.4,12.0,1441.0
862.6,1.2,11.0,90.1,73.7,11.9,1445.6
862.1,1.2,11.0,88.7,74.0,11.9,1450.3
861.6,1.2,11.1,87.4,74.3,11.8,1455.1
861.1,1.2,11.0,86.7,74.6,11.7,1460.0
860.6,1.2,11.0,86.5,74.8,11.6,1464.7
860.1,1.2,11.0,86.0,75.0,11.4,1469.4
859.6,1.2,11.0,85.3,75.2,11.3,1474.2
859.1,1.2,10.9,85.1,75.3,11.2,1479.2
858.6,1.2,10.9,85.0,75.4,11.0,1484.6
858.0,1.2,10.9,84.9,75.4,10.8,1490.3
857.4,1.2,10.9,85.1,75.4,10.7,1496.0
856.8,1.2,10.8,85.1,75.4,10.5,1501.7
856.3,1.3,10.8,84.8,75.2,10.3,1507.4
855.6,1.3,10.7,84.6,75.0,10.1,1513.1
855.0,1.3,10.7,84.4,74.8,9.9,1518.5
854.6,1.3,10.6,84.3,74.5,9.7,1523.5
854.1,1.3,10.6,84.0,74.1,9.5,1528.2
853.7,1.3,10.6,83.7,73.7,9.4,1533.0
853.1,1.3,10.6,83.9,73.2,9.2,1538.2
852.5,1.3,10.6,84.8,72.6,9.0,1543.6
852.0,1.3,10.7,85.7,72.0,8.8,1548.8
851.5,1.3,10.6,86.2,71.4,8.7,1553.8
851.0,1.3,10.6,86.2,70.7,8.6,1558.6
850.5,1.3,10.6,86.3,70.0,8.4,1563.1
850.1,1.3,10.5,86.3,69.3,8.3,1567.5
849.6,1.3,10.4,86.4,68.5,8.2,1572.0
849.2,1.3,10.4,86.9,67.8,8.2,1576.8
848.6,1.3,10.3,87.4,67.1,8.1,1581.8
848.1,1.3,10.3,87.7,66.4,8.0,1586.8
847.6,1.3,10.2,88.1,65.8,8.0,1591.6
847.2,1.2,10.2,88.8,65.2,8.0,1596.2
846.7,1.2,10.2,89.5,64.7,8.0,1600.7
846.3,1.2,10.1,89.7,64.3,8.0,1605.2
845.8,1.2,10.1,89.6,63.9,8.0,1609.8
845.3,1.2,10.0,89.5,63.6,8.0,1614.6
844.8,1.2,10.0,89.7,63.5,8.0,1619.5
844.3,1.2,10.0,89.8,63.4,8.0,1624.6
843.8,1.2,9.9,89.9,63.4,8.1,1629.7
843.2,1.2,9.9,90.0,63.4,8.1,1634.6
842.8,1.2,9.8,90.4,63.6,8.1,1639.4
842.3,1.2,9.8,91.0,63.9,8.1,1643.8
841.9,1.2,9.8,91.8,64.2,8.1,1648.2
841.5,1.2,9.8,92.8,64.6,8.1,1652.6
841.0,1.2,9.8,93.6,65.0,8.1,1657.2
840.5,1.2,9.8,94.0,65.5,8.1,1661.6
840.1,1.2,9.8,93.9,66.1,8.1,1665.7
839.7,1.2,9.8,93.9,66.7,8.0,1669.7
839.3,1.2,9.7,93.9,67.4,8.0,1673.8
838.9,1.2,9.7,94.1,68.2,7.9,1678.3
