CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
10.3      261.720   226.440     6.000     2.400    91.701    26.121  9000.000  9000.000   331.730   332.220     0.00001
10.4      257.800   225.870     6.000     2.400    93.097    26.407  9000.000  9000.000   332.320   332.820     0.00001
10.5      253.940   225.370     6.000     2.321    91.415    26.684  9000.000  9000.000   333.010   333.510     0.00001
10.6      250.100   224.740     6.000     2.300    91.962    26.960  9000.000  9000.000   333.510   334.020     0.00001
10.7      246.310   224.160     6.000     2.307    93.667    27.237  9000.000  9000.000   334.110   334.630     0.00001
10.8      242.610   224.190     5.543     2.491   102.690    27.536  9000.000  9000.000   335.600   336.120     0.00001
10.9      238.940   225.940     4.000     2.600   108.810    27.846  9000.000  9000.000   339.690   340.220     0.00001
11.0      235.370   227.240     3.000     2.795   118.730    28.177  9000.000  9000.000   343.110   343.640     0.00001
11.1      231.850   226.710     2.000     2.737   118.050    28.502  9000.000  9000.000   343.790   344.320     0.00001
11.2      228.370   226.400     2.000     2.777   121.600    28.833  9000.000  9000.000   344.790   345.320     0.00001
11.3      224.950   226.110     1.000     2.761   122.740    29.161  9000.000  9000.000   345.840   346.370     0.00000
11.4      221.570   226.150     1.000     2.704   122.060    29.483  9000.000  9000.000   347.390   347.930     0.00000
11.5      218.250   226.960     1.000     2.695   123.460    29.803  9000.000  9000.000   350.140   350.690     0.00000
11.6      215.000   228.140     0.000     2.500   116.280    30.098  9000.000  9000.000   353.470   354.020     0.00000
11.7      211.800   228.110     0.000     2.557   120.720    30.400  9000.000  9000.000   354.930   355.490     0.00000
11.8      208.650   228.130     0.000     2.400   115.020    30.683  9000.000  9000.000   356.480   357.050     0.00000
11.9      205.550   227.560     0.000     2.337   113.680    30.960  9000.000  9000.000   357.110   357.690     0.00000
12.0      202.480   226.730     0.000     2.300   113.590    31.233  9000.000  9000.000   357.340   357.920     0.00000
12.1      199.440   225.980     0.000     2.300   115.320    31.507  9000.000  9000.000   357.690   358.270     0.00000
12.2      196.460   225.090     0.000     2.200   111.980    31.770  9000.000  9000.000   357.810   358.400     0.00000
12.3      193.500   224.260     0.000     2.277   117.690    32.044  9000.000  9000.000   358.050   358.650     0.00000
12.4      190.550   223.260     0.000     2.168   113.800    32.305  9000.000  9000.000   358.000   358.600     0.00000
