CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
10.8      246.590   223.920    13.313     2.169    87.951    26.208  9000.000  9000.000   333.640   334.200     0.00002
10.9      242.860   224.460     8.756     2.442   100.530    26.501  9000.000  9000.000   335.900   336.450     0.00002
11.0      239.200   224.820     6.268     2.500   104.520    26.800  9000.000  9000.000   337.910   338.450     0.00001
11.1      235.580   224.850     4.600     2.400   101.880    27.087  9000.000  9000.000   339.420   339.950     0.00001
11.2      232.030   224.630     3.946     2.400   103.440    27.375  9000.000  9000.000   340.560   341.100     0.00001
11.3      228.520   224.010     3.000     2.333   102.090    27.655  9000.000  9000.000   341.100   341.630     0.00001
11.4      225.070   223.540     3.000     2.302   102.270    27.933  9000.000  9000.000   341.860   342.400     0.00001
11.5      221.650   222.920     3.000     2.400   108.280    28.223  9000.000  9000.000   342.410   342.950     0.00001
11.6      218.270   222.540     2.000     2.500   114.540    28.525  9000.000  9000.000   343.310   343.860     0.00000
11.7      214.930   222.200     2.000     2.452   114.070    28.822  9000.000  9000.000   344.300   344.850     0.00000
11.8      211.670   221.740     2.000     2.306   108.960    29.102  9000.000  9000.000   345.080   345.640     0.00000
11.9      208.410   221.370     2.000     2.400   115.160    29.394  9000.000  9000.000   346.030   346.590     0.00000
12.0      205.210   220.900     2.000     2.115   103.060    29.652  9000.000  9000.000   346.830   347.400     0.00000
12.1      202.060   220.430     2.000     2.200   108.880    29.921  9000.000  9000.000   347.610   348.190     0.00000
12.2      198.960   219.960     1.000     2.300   115.600    30.202  9000.000  9000.000   348.410   348.990     0.00000
12.3      195.900   219.610     1.000     2.263   115.520    30.480  9000.000  9000.000   349.400   349.980     0.00000
12.4      192.870   219.460     1.000     2.113   109.550    30.739  9000.000  9000.000   350.710   351.300     0.00000
12.5      189.880   219.330     1.000     1.938   102.050    30.977  9000.000  9000.000   352.050   352.650     0.00000
12.6      186.940   219.080     1.000     1.876   100.340    31.207  9000.000  9000.000   353.220   353.830     0.00000
12.7      184.050   218.530     1.000     1.881   102.180    31.439  9000.000  9000.000   353.900   354.520     0.00000
12.8      181.210   218.110     1.000     1.865   102.920    31.669  9000.000  9000.000   354.800   355.420     0.00000
12.9      178.380   217.250     1.000     1.800   100.910    31.892  9000.000  9000.000   354.980   355.610     0.00000
13.0      175.590   216.580     1.000     1.800   102.510    32.116  9000.000  9000.000   355.470   356.110     0.00000
13.1      172.840   216.080     1.000     1.800   104.140    32.341  9000.000  9000.000   356.250   356.890     0.00000
13.2      170.120   215.410     1.000     1.877   110.330    32.575  9000.000  9000.000   356.770   357.410     0.00000
13.3      167.440   214.640     1.000     1.675   100.040    32.785  9000.000  9000.000   357.100   357.750     0.00000
13.4      164.790   214.020     1.000     1.587    96.297    32.985  9000.000  9000.000   357.690   358.350     0.00000
13.5      162.180   213.460     1.000     1.436    88.522    33.166  9000.000  9000.000   358.390   359.050     0.00000
13.6      159.600   212.680     1.000     1.400    87.718    33.343  9000.000  9000.000   358.700   359.380     0.00000
13.7      157.060   212.420     1.000     1.400    89.138    33.521  9000.000  9000.000   359.910   360.590     0.00000
13.8      154.550   212.250     1.000     1.497    96.854    33.711  9000.000  9000.000   361.280   361.970     0.00000
13.9      152.080   212.240     1.000     1.454    95.628    33.895  9000.000  9000.000   362.920   363.620     0.00000
14.0      149.640   211.570     1.000     1.417    94.698    34.075  9000.000  9000.000   363.440   364.140     0.00000
14.1      147.250   211.060     1.000     1.347    91.483    34.247  9000.000  9000.000   364.240   364.950     0.00000
14.2      144.880   210.340     1.000     1.400    96.629    34.427  9000.000  9000.000   364.680   365.400     0.00000
14.3      142.540   210.080     1.000     1.400    98.219    34.606  9000.000  9000.000   365.910   366.640     0.00000
14.4      140.250   210.250     1.000     1.350    96.257    34.779  9000.000  9000.000   367.910   368.640     0.00000
14.5      137.980   210.970     1.000     1.476   106.950    34.967  9000.000  9000.000   370.870   371.620     0.00000
14.6      135.770   211.360     1.000     1.600   117.850    35.171  9000.000  9000.000   373.290   374.050     0.00000
14.7      133.600   211.550     1.000     1.669   124.920    35.384  9000.000  9000.000   375.340   376.110     0.00000
14.8      131.460   211.260     1.000     1.796   136.630    35.612  9000.000  9000.000   376.550   377.330     0.00000
14.9      129.350   210.840     1.000     1.800   139.160    35.842  9000.000  9000.000   377.540   378.330     0.00000
15.0      127.260   210.310     1.000     1.900   149.300    36.086  9000.000  9000.000   378.340   379.130     0.00000
15.1      125.220   209.730     1.000     1.900   151.740    36.330  9000.000  9000.000   379.030   379.830     0.00000
15.2      123.190   209.280     0.453     1.900   154.230    36.574  9000.000  9000.000   379.980   380.790     0.00000
15.3      121.200   208.610     0.000     1.988   164.000    36.831  9000.000  9000.000   380.540   381.350     0.00000
15.4      119.220   208.220     0.000     2.058   172.650    37.097  9000.000  9000.000   381.620   382.450     0.00000
15.5      117.270   207.810     0.000     2.000   170.540    37.356  9000.000  9000.000   382.640   383.480     0.00000
15.6      115.370   207.270     0.000     2.151   186.450    37.635  9000.000  9000.000   383.440   384.280     0.00000
15.7      113.480   207.080     0.000     2.369   208.790    37.943  9000.000  9000.000   384.900   385.750     0.00000
15.8      111.620   207.150     0.000     2.232   199.970    38.234  9000.000  9000.000   386.840   387.700     0.00000
15.9      109.790   206.930     0.000     2.064   187.960    38.502  9000.000  9000.000   388.250   389.130     0.00000
16.0      107.990   206.310     0.000     1.895   175.470    38.749  9000.000  9000.000   388.910   389.790     0.00000
16.1      106.210   205.630     0.000     1.810   170.430    38.986  9000.000  9000.000   389.470   390.360     0.00000
16.2      104.460   205.170     0.000     1.700   162.740    39.209  9000.000  9000.000   390.440   391.340     0.00000
16.3      102.740   204.970     0.000     1.700   165.460    39.433  9000.000  9000.000   391.920   392.830     0.00000
16.4      101.030   204.550     0.000     1.756   173.760    39.664  9000.000  9000.000   392.980   393.900     0.00000
16.5       99.367   204.990     0.000     1.848   185.990    39.907  9000.000  9000.000   395.710   396.640     0.00000
16.6       97.716   205.640     0.000     1.900   194.440    40.155  9000.000  9000.000   398.850   399.800     0.00000
16.7       96.117   205.580     0.000     1.900   197.670    40.404  9000.000  9000.000   400.610   401.570     0.00000
16.8       94.532   205.380     0.000     1.972   208.650    40.663  9000.000  9000.000   402.120   403.080     0.00000
16.9       92.969   205.040     0.000     1.903   204.670    40.913  9000.000  9000.000   403.360   404.330     0.00000
17.0       91.426   204.590     0.000     2.109   230.720    41.190  9000.000  9000.000   404.400   405.380     0.00000
17.1       89.913   204.990     0.000     2.437   271.070    41.511  9000.000  9000.000   407.130   408.130     0.00000
17.2       88.428   205.790     0.000     2.700   305.330    41.864  9000.000  9000.000   410.650   411.660     0.00000
17.3       86.980   206.370     0.000     2.700   310.420    42.216  9000.000  9000.000   413.760   414.790     0.00000
17.4       85.552   206.810     0.000     2.635   308.020    42.559  9000.000  9000.000   416.600   417.640     0.00000
17.5       84.147   206.820     0.000     2.500   297.100    42.885  9000.000  9000.000   418.590   419.640     0.00000
17.6       82.766   206.600     0.000     2.500   302.060    43.211  9000.000  9000.000   420.110   421.180     0.00000
17.7       81.408   206.640     0.000     2.322   285.180    43.513  9000.000  9000.000   422.180   423.260     0.00000
17.8       80.081   206.440     0.000     2.521   314.830    43.842  9000.000  9000.000   423.760   424.850     0.00000
